This spreadsheet includes three tables. The first table outlines additional fields for the MuseIT schema. Please add or propose any necessary fields you may need. The second table presents the fields from the existing Dataverse citation schema. If a field you need is marked as 'hidden,' please change its status to 'optional.' Note: 'ArtFormType' is a controlled variable, and the options are listed in a third table. Please add any art form types that you need as well.							Comments	
								
							To keep things clear we could use the term Object to refer to transformations that are created in MuseIT; Original CA can refere to the original cultural asset that is being represented in different modalities by MuseIT. What do you think?	
								
								
								
	name	title	description	watermark	fieldType		Following ourdiscusion in WP3-WP6 meeting, I have replaced the references to Dataset with Object	
Required	project	Project	Constant Value: MuseIT.	MuseIT	text			
Required	artFormType	Art Form Type	The type of the Original Art Form. Eg. 3D, painting etc.		text			
Required	ObjectVersion	Version	The version of the Object e.g. 2.1.		text			
Optional	currentLocation	Current Location	The location where the object is displayed		text			
Optional	material	Material	The material that the Object is made of		text			
Optional	contributor	Contributor	The entity, such as a person or organization, responsible for collecting, managing, or otherwise contributing to the development of the Object		none			
Optional	contributorType	Type	Indicates the type of contribution made to the Object		text			
Optional	contributorName	Name	The name of the contributor, e.g. the person's name or the name of an organization	1) FamilyName, GivenName or 2) Organization	text			
Optional	accessibilityModality	Accessibility Modality	The sensory modality through which the cultural asset can be accessed.		text			
Optional	datasetCopyright	Dataset Copyright	Copyright information for the Object.		text			
Optional	fileCopyright	File Copyright	Copyright information for the specific Object.		text			
								
Optional	Author-Creator	Author-Creator	The entity, such as a person or organization who has created the Object (art work, artifact, document, music, etc)		text			
Required	originalityStatus	Originality Status	Indicates whether the entry is the original CHA or a representation.		text			
Optional	representationOfOriginalAsset	Representation of Original Asset	Specifies the original asset if the entry is a representation.		text		We would also need some of the above fields that describe the original art form, here too to describe our representation, e.g., Version 	
								
	name	title	description	watermark	fieldType			
Required	title	Title	The main title of the Object		text			
Optional	subtitle	Subtitle	A secondary title that amplifies or states certain limitations on the main title		text		this could be optional	
Optional	alternativeTitle	Alternative Title	Either 1) a title commonly used to refer to the Dataset or 2) an abbreviation of the main title		text			
Hidden	alternativeURL	Alternative URL	Another URL where one can view or access the data in the Dataset, e.g. a project or personal webpage	https://	url		Should there not be a URL? 	
Optional	otherId	Other Identifier	Another unique identifier for the Dataset (e.g. producer's or another repository's identifier)		none			
Optional	otherIdAgency	Agency	The name of the agency that generated the other identifier		text			
Optional	otherIdValue	Identifier	Another identifier uniquely identifies the Dataset		text			
Required	author	Author	The entity, e.g. a person or organization, that created the Object		none		What is the difference between these two fields, please modify the description for better clarification	
Required	authorName	Name	The name of the author, such as the person's name or the name of an organization	1) Family Name, Given Name or 2) Organization XYZ	text			
Optional	authorAffiliation	Affiliation	The name of the entity affiliated with the author, e.g. an organization's name	Organization XYZ	text			
Optional	authorIdentifier	Identifier Type	Uniquely identifies the author when paired with an identifier type		text			
Optional	authorIdentifierScheme	Identifier	The type of identifier that uniquely identifies the author (e.g. ORCID, ISNI)		text			
